log_kwges,longitude,latitude,z_coord,kwges_ppm,s_meth,id
3.0394,13821.74000000000,183794.26000000001,635.08,1095,1,CD11
2.7067,13799.26000000000,183775.20999999999,635.21,509,1,CD12
1.9685,13745.76000000000,183786.57999999999,636.61,93,1,CD13
0,13835.24000000000,183791.98999999999,636.17,1,1,CD14
1.3979,13801.18000000000,183708.70000000001,636.68,25,1,CD15
2.7959,13787.40000000000,183821.32000000001,635.3,625,1,CD16
2.6253,13815.66000000000,183726.42000000001,635.75,422,1,CD17
3.4843,13825.36000000000,183774.41000000000,635.49,3050,1,CD18
2.4362,13754.32000000000,183760.81000000000,635.53,273,1,CD20
1.9956,13892.48000000000,183706.51000000001,635.32,99,1,CD21
0,13753.76000000000,183756.42999999999,635.87,1,1,CD22
0.699,13779.43000000000,183869.82000000001,637.1,5,1,CD23a
1.8062,13776.33000000000,183863.79999999999,635.2,64,1,CD23b
0.699,13883.40000000000,183752.69000000000,636.17,5,1,CD24a
1,13879.55000000000,183750.66000000000,635.13,10,1,CD24b
2.9154,13814.37000000000,183754.44000000000,636.18,823,2,RD1
2.9614,13818.80000000000,183740.67999999999,632.75,915,2,RD2
2.3263,13755.15000000000,183741.41000000000,632.75,212,2,RD3
2.4654,13774.95000000000,183737.64999999999,635.9,292,2,RD4
1.9294,13798.08000000000,183734.95000000001,635.88,85,2,RD5
3.1303,13821.02000000000,183733.20999999999,635.83,1350,2,RD6
1.7243,13845.76000000000,183689.17000000001,635.84,53,2,RD7
3.3263,13819.72000000000,183737.94000000000,635.84,2120,3,PD15
3.4548,13823.26000000000,183743.60999999999,635.83,2850,3,PD16
3.9138,13842.33000000000,183721.32000000001,635.22,8200,3,PD17a
3.7118,13842.56000000000,183732.17999999999,635.83,5150,3,PD17b
2.0934,13876.38000000000,183731.37000000000,635.82,124,3,PD19
2.5752,13883.31000000000,183730.60000000001,635.84,376,3,PD20
1.5911,13899.09000000000,183730.37000000000,635.84,39,3,PD21
2.932,13868.97000000000,183725.66000000000,635.87,855,3,PD23
2.2122,13874.25000000000,183720.17999999999,635.87,163,3,PD24
2.4843,13886.46000000000,183719.82999999999,635.87,305,3,PD25
1.6128,13898.15000000000,183719.41000000000,635.82,41,3,PD26
2.7868,13869.17000000000,183707.00000000000,635.41,612,3,PD27
2.4928,13884.05000000000,183707.07999999999,635.42,311,3,PD30
2.1673,13895.56000000000,183706.51000000001,635.29,147,3,PD31
2.3892,13801.20000000000,183721.35999999999,635.89,245,3,PD32
3.4983,13856.68000000000,183720.57999999999,635.87,3150,3,PD37
3.8633,13838.92000000000,183714.56000000000,635.81,7300,3,PD38
2.4548,13814.35000000000,183706.16000000000,635.71,285,3,PD39
2.48,13867.06000000000,183699.60999999999,635.25,302,3,PD40
2.4487,13883.99000000000,183696.54000000001,635.08,281,3,PD41
3.6484,13831.11000000000,183753.44000000000,635.21,4450,3,PD42
3.1818,13845.17000000000,183762.95000000001,635.25,1520,3,PD43
2.7218,13860.29000000000,183762.20999999999,635.17,527,3,PD44
2.1239,13875.14000000000,183761.10000000001,635.13,133,3,PD45
1.0414,13872.45000000000,183751.48000000001,635.02,11,3,PD46
3.2672,13836.22000000000,183772.20999999999,635.22,1850,3,PD49
2.549,13758.05000000000,183803.72000000000,634.46,354,3,PD52
2.238,13747.85000000000,183773.69000000000,634.47,173,3,PD53
3.0212,13809.54000000000,183789.76000000001,635.45,1050,3,PD54
1.0792,13888.45000000000,183685.94000000000,635.39,12,3,PD55
2.0755,13824.87000000000,183691.23999999999,635.22,119,3,PD56
1.8976,13859.46000000000,183777.10999999999,635.4,79,3,PD58
2.9217,13840.37000000000,183778.84000000000,634.83,835,3,PD60
1.5051,13851.41000000000,183787.37000000000,634.66,32,3,PD61
1.2041,13810.63000000000,183813.34000000000,635,16,3,PD62
1.3424,13910.23000000000,183708.42999999999,635.6,22,3,PD63
